"filename", "language", "TypeScript", "XML", "TypeScript JSX", "JavaScript", "SCSS", "JSON", "PostCSS", "comment", "blank", "total"
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-icons/blockquote-icon.tsx", "TypeScript JSX", 0, 0, 41, 0, 0, 0, 0, 0, 4, 45
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-icons/bold-icon.tsx", "TypeScript JSX", 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-icons/chevron-down-icon.tsx", "TypeScript JSX", 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-icons/close-icon.tsx", "TypeScript JSX", 0, 0, 21, 0, 0, 0, 0, 0, 4, 25
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-icons/code-block-icon.tsx", "TypeScript JSX", 0, 0, 35, 0, 0, 0, 0, 0, 4, 39
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-icons/code2-icon.tsx", "TypeScript JSX", 0, 0, 29, 0, 0, 0, 0, 0, 4, 33
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-icons/corner-down-left-icon.tsx", "TypeScript JSX", 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-icons/external-link-icon.tsx", "TypeScript JSX", 0, 0, 25, 0, 0, 0, 0, 0, 4, 29
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-icons/heading-five-icon.tsx", "TypeScript JSX", 0, 0, 25, 0, 0, 0, 0, 0, 4, 29
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-icons/heading-four-icon.tsx", "TypeScript JSX", 0, 0, 25, 0, 0, 0, 0, 0, 4, 29
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-icons/heading-icon.tsx", "TypeScript JSX", 0, 0, 21, 0, 0, 0, 0, 0, 4, 25
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-icons/heading-one-icon.tsx", "TypeScript JSX", 0, 0, 25, 0, 0, 0, 0, 0, 4, 29
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-icons/heading-six-icon.tsx", "TypeScript JSX", 0, 0, 27, 0, 0, 0, 0, 0, 4, 31
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-icons/heading-three-icon.tsx", "TypeScript JSX", 0, 0, 33, 0, 0, 0, 0, 0, 4, 37
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-icons/heading-two-icon.tsx", "TypeScript JSX", 0, 0, 25, 0, 0, 0, 0, 0, 4, 29
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-icons/highlighter-icon.tsx", "TypeScript JSX", 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-icons/image-plus-icon.tsx", "TypeScript JSX", 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-icons/italic-icon.tsx", "TypeScript JSX", 0, 0, 21, 0, 0, 0, 0, 0, 4, 25
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-icons/link-icon.tsx", "TypeScript JSX", 0, 0, 25, 0, 0, 0, 0, 0, 4, 29
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-icons/list-icon.tsx", "TypeScript JSX", 0, 0, 53, 0, 0, 0, 0, 0, 4, 57
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-icons/list-ordered-icon.tsx", "TypeScript JSX", 0, 0, 53, 0, 0, 0, 0, 0, 4, 57
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-icons/list-todo-icon.tsx", "TypeScript JSX", 0, 0, 47, 0, 0, 0, 0, 0, 4, 51
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-icons/moon-star-icon.tsx", "TypeScript JSX", 0, 0, 27, 0, 0, 0, 0, 0, 4, 31
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-icons/redo2-icon.tsx", "TypeScript JSX", 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-icons/strike-icon.tsx", "TypeScript JSX", 0, 0, 25, 0, 0, 0, 0, 0, 4, 29
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-icons/subscript-icon.tsx", "TypeScript JSX", 0, 0, 35, 0, 0, 0, 0, 0, 4, 39
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-icons/sun-icon.tsx", "TypeScript JSX", 0, 0, 55, 0, 0, 0, 0, 0, 4, 59
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-icons/superscript-icon.tsx", "TypeScript JSX", 0, 0, 35, 0, 0, 0, 0, 0, 4, 39
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-icons/trash-icon.tsx", "TypeScript JSX", 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-icons/underline-icon.tsx", "TypeScript JSX", 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-icons/undo2-icon.tsx", "TypeScript JSX", 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-node/blockquote-node/blockquote-node.scss", "SCSS", 0, 0, 0, 0, 30, 0, 0, 3, 5, 38
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-node/code-block-node/code-block-node.scss", "SCSS", 0, 0, 0, 0, 45, 0, 0, 5, 5, 55
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-node/heading-node/heading-node.scss", "SCSS", 0, 0, 0, 0, 34, 0, 0, 0, 6, 40
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-node/horizontal-rule-node/horizontal-rule-node-extension.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-node/horizontal-rule-node/horizontal-rule-node.scss", "SCSS", 0, 0, 0, 0, 19, 0, 0, 3, 4, 26
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-node/image-node/image-node.scss", "SCSS", 0, 0, 0, 0, 25, 0, 0, 1, 6, 32
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-node/image-upload-node/image-upload-node-extension.ts", "TypeScript", 106, 0, 0, 0, 0, 0, 0, 39, 18, 163
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-node/image-upload-node/image-upload-node.scss", "SCSS", 0, 0, 0, 0, 212, 0, 0, 1, 37, 250
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-node/image-upload-node/image-upload-node.tsx", "TypeScript JSX", 0, 0, 428, 0, 0, 0, 0, 74, 53, 555
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-node/image-upload-node/index.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-node/list-node/list-node.scss", "SCSS", 0, 0, 0, 0, 129, 0, 0, 7, 25, 161
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-node/paragraph-node/paragraph-node.scss", "SCSS", 0, 0, 0, 0, 197, 0, 0, 41, 36, 274
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-templates/simple/data/content.json", "JSON", 0, 0, 0, 0, 0, 477, 0, 0, 1, 478
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-templates/simple/simple-editor.scss", "SCSS", 0, 0, 0, 0, 68, 0, 0, 0, 15, 83
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-templates/simple/simple-editor.tsx", "TypeScript JSX", 0, 0, 236, 0, 0, 0, 0, 9, 36, 281
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-templates/simple/theme-toggle.tsx", "TypeScript JSX", 0, 0, 36, 0, 0, 0, 0, 1, 8, 45
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui-primitive/badge/badge-colors.scss", "SCSS", 0, 0, 0, 0, 340, 0, 0, 35, 21, 396
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui-primitive/badge/badge-group.scss", "SCSS", 0, 0, 0, 0, 14, 0, 0, 0, 3, 17
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui-primitive/badge/badge.scss", "SCSS", 0, 0, 0, 0, 77, 0, 0, 9, 14, 100
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui-primitive/badge/badge.tsx", "TypeScript JSX", 0, 0, 40, 0, 0, 0, 0, 0, 5, 45
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui-primitive/badge/index.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
